[2023-10-17 15:24:37] [INFO   ] Generating Test Report 
[2023-10-17 15:24:38] [INFO   ] Generating test report 
[2023-10-17 15:24:38] [INFO   ] Generating test report 
[2023-10-17 15:24:38] [INFO   ] Fetching data from the data provider 'EG_login' 
[2023-10-17 15:24:41] [INFO   ] Setting up the browser... 
[2023-10-17 15:24:44] [INFO   ] Started measuring time 2023-10-17T09:54:44.367569743Z 
[2023-10-17 15:24:44] [INFO   ] Executing LM_L_LIP Test Cases 
[2023-10-17 15:24:44] [INFO   ] Executing login test cases... 
[2023-10-17 15:24:44] [INFO   ] Entering username: eg_admin 
[2023-10-17 15:24:46] [INFO   ] Entering password... 
[2023-10-17 15:24:47] [INFO   ] Clicking on login button... 
[2023-10-17 15:24:53] [INFO   ] Clicking Logout... 
[2023-10-17 15:24:53] [INFO   ] IP Login test cases executed successfully. 
[2023-10-17 15:24:53] [INFO   ] LM_L_LIP Test Cases Execution Completed 
[2023-10-17 15:24:53] [INFO   ] Time elapsed - [In milli-seconds: 9411] [In seconds:9.411] 
[2023-10-17 15:24:54] [INFO   ] Fetching data from the data provider 'prerak_login' 
[2023-10-17 15:24:54] [INFO   ] Setting up the browser... 
[2023-10-17 15:24:55] [INFO   ] Started measuring time 2023-10-17T09:54:55.773462899Z 
[2023-10-17 15:24:55] [INFO   ] Executing LM_L_LP method 
[2023-10-17 15:24:55] [INFO   ] Executing prerak login LM_L_LP test 
[2023-10-17 15:24:55] [INFO   ] Entering username: varunb_b_9960051486 
[2023-10-17 15:24:58] [INFO   ] Entering password... 
[2023-10-17 15:24:59] [INFO   ] Clicking on login button... 
[2023-10-17 15:25:02] [WARNING] Test LM_L_LP failed. Capturing screenshot... 
[2023-10-17 15:25:02] [INFO   ] Setting up the browser... 
[2023-10-17 15:25:03] [INFO   ] Started measuring time 2023-10-17T09:55:03.885884396Z 
[2023-10-17 15:25:03] [INFO   ] PM_PPE_PP_PrerakHome method 
[2023-10-17 15:25:03] [INFO   ] Executing common login... 
[2023-10-17 15:25:03] [INFO   ] Entering username: varunb_b_9960051486 
[2023-10-17 15:25:06] [INFO   ] Entering password... 
[2023-10-17 15:25:07] [INFO   ] Clicking on login button... 
[2023-10-17 15:25:08] [INFO   ] Common login executed successfully. 
[2023-10-17 15:25:08] [INFO   ] Executing PM_PPE_PP_PrerakProfileEdit test cases... 
[2023-10-17 15:25:10] [INFO   ] Clicking sidebar 
[2023-10-17 15:25:11] [INFO   ] Clicking Profile 
[2023-10-17 15:25:14] [INFO   ] Clicking editBasicDetails 
[2023-10-17 15:25:16] [INFO   ] Clicking editName 
[2023-10-17 15:25:17] [INFO   ] Clicking editContactDetails 
[2023-10-17 15:25:19] [INFO   ] Clicking editAddressDetails 
[2023-10-17 15:25:21] [INFO   ] Clicking editPersonalDetails 
[2023-10-17 15:25:23] [INFO   ] Clicking editReferenceDetails 
[2023-10-17 15:25:26] [INFO   ] Clicking editOtherDetails 
[2023-10-17 15:25:28] [INFO   ] PM_PPE_PP_PrerakProfileEdit executed successfully. 
[2023-10-17 15:25:28] [INFO   ] Test case execution completed 
[2023-10-17 15:25:28] [INFO   ] Time elapsed - [In milli-seconds: 24157] [In seconds:24.157] 
[2023-10-17 15:25:28] [INFO   ] Fetching data from the data provider 'editName' 
[2023-10-17 15:25:28] [INFO   ] Setting up the browser... 
[2023-10-17 15:25:29] [INFO   ] Started measuring time 2023-10-17T09:55:29.220525810Z 
[2023-10-17 15:25:29] [INFO   ] EditPrerakDetails_PM_PPE_PP_editName method 
[2023-10-17 15:25:29] [INFO   ] Executing common login... 
[2023-10-17 15:25:29] [INFO   ] Entering username: varunb_b_9960051486 
[2023-10-17 15:25:32] [INFO   ] Entering password... 
[2023-10-17 15:25:33] [INFO   ] Clicking on login button... 
[2023-10-17 15:25:33] [INFO   ] Common login executed successfully. 
[2023-10-17 15:25:33] [INFO   ] Executing PM_PPE_PP_editName test cases... 
[2023-10-17 15:25:35] [INFO   ] Clicking sidebar 
[2023-10-17 15:25:37] [INFO   ] Clicking Profile 
[2023-10-17 15:25:40] [INFO   ] Clicking editBasicDetails 
[2023-10-17 15:25:41] [INFO   ] Clicking editName 
[2023-10-17 15:25:42] [INFO   ] Entering First Name 
[2023-10-17 15:25:45] [INFO   ] Entering Middle Name 
[2023-10-17 15:25:47] [INFO   ] Entering Last Name 
[2023-10-17 15:25:49] [INFO   ] Selecting Year 
[2023-10-17 15:25:50] [INFO   ] Selecting Month 
[2023-10-17 15:25:51] [INFO   ] Selecting Day 
[2023-10-17 15:25:53] [INFO   ] Clicking Save 
[2023-10-17 15:25:54] [INFO   ] PM_PPE_PP_editName Test executed successfully. 
[2023-10-17 15:25:54] [INFO   ] PM_PPE_PP_editName Test case execution completed 
[2023-10-17 15:25:54] [INFO   ] Time elapsed - [In milli-seconds: 24923] [In seconds:24.923] 
